Produto,Categoria do Produto,Quantidade,Preço Unitário,Nome da Loja,Forma de Pagamento,Estado da Loja,Cidade da Loja,Preço Total
Mouse,Periféricos,1,4760.13,Loja Oeste,Crédito,RJ,Belo Horizonte,4760.13
Webcam,Acessórios,4,342.74,Loja Norte,Boleto,RJ,Belo Horizonte,1370.96
Headset,Eletrônicos,1,4919.62,Loja Sul,Crédito,MG,Belo Horizonte,4919.62
Teclado,Informática,2,4295.95,Loja Leste,Crédito,RS,São Paulo,8591.9
Headset,Eletrônicos,3,3318.35,Loja Norte,Crédito,SP,São Paulo,9955.05
Impressora,Informática,8,3688.23,Loja Norte,Boleto,BA,São Paulo,29505.84
Teclado,Eletrônicos,4,409.83,Loja Leste,Boleto,RS,Salvador,1639.32
Webcam,Acessórios,4,255.33,Loja Leste,Débito,BA,Belo Horizonte,1021.32
Impressora,Periféricos,9,553.74,Loja Leste,Crédito,RS,São Paulo,4983.66
Smartphone,Eletrônicos,7,482.43,Loja Leste,Débito,MG,Porto Alegre,3377.01
Mouse,Informática,2,2759.54,Loja Leste,Boleto,SP,Belo Horizonte,5519.08
Webcam,Eletrônicos,3,1116.45,Loja Centro,Débito,MG,Belo Horizonte,3349.3500000000004
Smartphone,Acessórios,4,4308.02,Loja Centro,Boleto,RJ,Belo Horizonte,17232.08
Smartwatch,Acessórios,4,2256.46,Loja Leste,Débito,SP,São Paulo,9025.84
Webcam,Eletrônicos,8,3492.78,Loja Sul,Crédito,RS,Rio de Janeiro,27942.24
Smartwatch,Periféricos,6,3281.72,Loja Sul,Boleto,MG,Porto Alegre,19690.32
Teclado,Informática,3,1633.27,Loja Leste,Boleto,BA,Porto Alegre,4899.8099999999995
Smartphone,Acessórios,9,1253.68,Loja Centro,Boleto,MG,Rio de Janeiro,11283.12
Mouse,Acessórios,8,1745.16,Loja Sul,Crédito,MG,Porto Alegre,13961.28
Impressora,Eletrônicos,9,3993.46,Loja Centro,Crédito,RS,São Paulo,35941.14
Tablet,Acessórios,5,2952.07,Loja Norte,Boleto,RS,Belo Horizonte,14760.35
Headset,Acessórios,3,1305.02,Loja Centro,Boleto,RJ,Rio de Janeiro,3915.06
Laptop,Informática,4,4098.34,Loja Leste,Crédito,SP,Belo Horizonte,16393.36
Mouse,Periféricos,5,321.06,Loja Oeste,Crédito,MG,Porto Alegre,1605.3
Smartphone,Informática,9,3510.96,Loja Leste,Crédito,BA,Salvador,31598.64
Tablet,Periféricos,9,2223.55,Loja Norte,Crédito,RS,Porto Alegre,20011.95
Mouse,Informática,3,3669.89,Loja Centro,Crédito,RS,Porto Alegre,11009.67
Smartphone,Eletrônicos,7,4640.93,Loja Sul,Crédito,RJ,Rio de Janeiro,32486.510000000002
Monitor,Acessórios,6,3762.67,Loja Leste,Débito,SP,Belo Horizonte,22576.02
Monitor,Periféricos,4,2237.73,Loja Sul,Crédito,RJ,Rio de Janeiro,8950.92
Smartwatch,Eletrônicos,5,797.33,Loja Centro,Crédito,RS,São Paulo,3986.65
Mouse,Acessórios,2,4041.44,Loja Norte,Boleto,BA,Belo Horizonte,8082.88
Monitor,Acessórios,7,2330.49,Loja Leste,Boleto,RJ,São Paulo,16313.429999999998
Smartphone,Acessórios,4,422.8,Loja Sul,Débito,MG,São Paulo,1691.2
Smartwatch,Informática,2,3609.32,Loja Leste,Crédito,RS,Rio de Janeiro,7218.64
Smartphone,Eletrônicos,6,1494.67,Loja Leste,Boleto,RS,Porto Alegre,8968.02
Smartwatch,Eletrônicos,2,292.0,Loja Sul,Boleto,RJ,Salvador,584.0
Mouse,Acessórios,2,4518.62,Loja Norte,Débito,BA,Porto Alegre,9037.24
Tablet,Periféricos,7,2441.35,Loja Leste,Crédito,RJ,Porto Alegre,17089.45
Impressora,Eletrônicos,1,1440.76,Loja Norte,Boleto,BA,Belo Horizonte,1440.76
Webcam,Informática,7,3596.11,Loja Norte,Crédito,RS,Rio de Janeiro,25172.77
Tablet,Periféricos,5,4435.22,Loja Centro,Débito,RJ,Belo Horizonte,22176.100000000002
Teclado,Periféricos,1,51.52,Loja Sul,Débito,SP,Salvador,51.52
Smartphone,Periféricos,6,3454.87,Loja Centro,Crédito,RJ,Rio de Janeiro,20729.22
Teclado,Periféricos,7,3846.71,Loja Oeste,Débito,RJ,Porto Alegre,26926.97
Tablet,Eletrônicos,1,1089.14,Loja Centro,Boleto,SP,São Paulo,1089.14
Smartwatch,Acessórios,9,2473.64,Loja Leste,Débito,SP,Porto Alegre,22262.76
Webcam,Periféricos,7,491.97,Loja Leste,Débito,MG,Porto Alegre,3443.79
Webcam,Informática,1,3746.41,Loja Leste,Crédito,SP,Rio de Janeiro,3746.41
Laptop,Informática,3,4244.91,Loja Oeste,Boleto,BA,Porto Alegre,12734.73
Webcam,Acessórios,5,585.52,Loja Norte,Crédito,MG,Salvador,2927.6
Impressora,Eletrônicos,4,4091.48,Loja Leste,Crédito,BA,Porto Alegre,16365.92
Webcam,Acessórios,2,3869.27,Loja Centro,Crédito,MG,São Paulo,7738.54
Tablet,Periféricos,1,1767.22,Loja Norte,Débito,MG,Rio de Janeiro,1767.22
Laptop,Eletrônicos,4,3466.93,Loja Centro,Débito,BA,Salvador,13867.72
Tablet,Eletrônicos,7,50.24,Loja Centro,Crédito,RS,Rio de Janeiro,351.68
Tablet,Periféricos,4,4662.4,Loja Leste,Débito,RS,São Paulo,18649.6
Headset,Informática,9,2774.4,Loja Centro,Débito,RJ,Belo Horizonte,24969.600000000002
Laptop,Periféricos,8,3120.68,Loja Oeste,Crédito,RS,Salvador,24965.44
Tablet,Acessórios,8,3340.06,Loja Norte,Boleto,RJ,São Paulo,26720.48
Headset,Periféricos,5,2828.78,Loja Leste,Boleto,RS,Belo Horizonte,14143.900000000001
Headset,Informática,1,4290.98,Loja Leste,Débito,RJ,São Paulo,4290.98
Laptop,Periféricos,9,3068.02,Loja Centro,Boleto,RJ,Belo Horizonte,27612.18
Teclado,Acessórios,2,4543.41,Loja Centro,Boleto,SP,Belo Horizonte,9086.82
Smartwatch,Acessórios,6,2932.54,Loja Sul,Débito,RJ,Rio de Janeiro,17595.239999999998
Impressora,Informática,5,897.06,Loja Sul,Boleto,BA,Porto Alegre,4485.299999999999
Smartwatch,Acessórios,8,4572.13,Loja Leste,Débito,BA,Porto Alegre,36577.04
Webcam,Acessórios,3,3424.06,Loja Leste,Crédito,RJ,São Paulo,10272.18
Impressora,Periféricos,6,3511.23,Loja Centro,Boleto,BA,Belo Horizonte,21067.38
Webcam,Eletrônicos,6,4928.13,Loja Oeste,Crédito,RS,Porto Alegre,29568.78
Tablet,Acessórios,3,422.22,Loja Oeste,Crédito,BA,São Paulo,1266.66
Smartphone,Acessórios,7,2171.53,Loja Centro,Débito,SP,São Paulo,15200.710000000001
Laptop,Informática,4,1233.52,Loja Sul,Boleto,BA,Salvador,4934.08
Impressora,Informática,5,3170.61,Loja Sul,Boleto,RS,Rio de Janeiro,15853.050000000001
Impressora,Periféricos,9,4043.72,Loja Oeste,Boleto,RS,Rio de Janeiro,36393.479999999996
Tablet,Periféricos,6,4833.24,Loja Leste,Boleto,RJ,Belo Horizonte,28999.44
Teclado,Acessórios,4,2300.25,Loja Centro,Débito,MG,Porto Alegre,9201.0
Headset,Eletrônicos,8,3941.78,Loja Leste,Crédito,RS,Belo Horizonte,31534.24
Tablet,Eletrônicos,9,4589.41,Loja Sul,Boleto,RJ,Porto Alegre,41304.69
Monitor,Periféricos,5,3432.46,Loja Oeste,Boleto,RJ,Porto Alegre,17162.3
Headset,Informática,2,1251.53,Loja Leste,Débito,BA,Porto Alegre,2503.06
Laptop,Acessórios,6,3058.88,Loja Sul,Boleto,BA,Porto Alegre,18353.28
Headset,Acessórios,8,4851.26,Loja Sul,Boleto,RJ,Porto Alegre,38810.08
Teclado,Eletrônicos,5,4938.39,Loja Sul,Crédito,SP,Salvador,24691.95
Headset,Periféricos,1,3229.68,Loja Leste,Boleto,RJ,Salvador,3229.68
Laptop,Eletrônicos,8,4440.59,Loja Norte,Boleto,BA,Porto Alegre,35524.72
Teclado,Eletrônicos,9,1041.73,Loja Oeste,Crédito,RS,São Paulo,9375.57
Smartwatch,Periféricos,1,1268.09,Loja Sul,Boleto,SP,São Paulo,1268.09
Impressora,Informática,8,4766.79,Loja Leste,Crédito,MG,Rio de Janeiro,38134.32
Impressora,Acessórios,2,719.42,Loja Centro,Débito,RS,Porto Alegre,1438.84
Webcam,Informática,4,995.98,Loja Oeste,Crédito,BA,São Paulo,3983.92
Smartwatch,Periféricos,2,2131.72,Loja Centro,Crédito,RS,Rio de Janeiro,4263.44
Smartwatch,Periféricos,2,2968.44,Loja Centro,Boleto,RS,São Paulo,5936.88
Headset,Acessórios,3,3038.9,Loja Leste,Boleto,BA,Rio de Janeiro,9116.7
Impressora,Informática,8,1495.28,Loja Norte,Boleto,RS,Belo Horizonte,11962.24
Laptop,Acessórios,4,4607.04,Loja Leste,Boleto,RJ,São Paulo,18428.16
Mouse,Eletrônicos,7,4579.74,Loja Leste,Crédito,SP,Porto Alegre,32058.18
Mouse,Eletrônicos,3,1990.74,Loja Oeste,Débito,BA,Porto Alegre,5972.22
Teclado,Eletrônicos,3,2199.74,Loja Leste,Boleto,SP,Salvador,6599.219999999999
Impressora,Informática,2,3527.36,Loja Oeste,Crédito,RJ,Belo Horizonte,7054.72
Impressora,Eletrônicos,6,3331.83,Loja Sul,Débito,BA,Belo Horizonte,19990.98
Mouse,Acessórios,6,1942.37,Loja Oeste,Débito,RJ,São Paulo,11654.22
Impressora,Informática,1,2100.51,Loja Leste,Débito,MG,Rio de Janeiro,2100.51
Headset,Acessórios,7,1772.79,Loja Sul,Crédito,MG,Salvador,12409.529999999999
Monitor,Periféricos,4,1215.16,Loja Sul,Boleto,MG,Belo Horizonte,4860.64
Smartphone,Informática,3,2317.78,Loja Norte,Crédito,SP,Belo Horizonte,6953.34
Smartwatch,Acessórios,8,3447.85,Loja Leste,Boleto,MG,Porto Alegre,27582.8
Webcam,Acessórios,2,3722.74,Loja Centro,Débito,MG,Porto Alegre,7445.48
Teclado,Informática,9,3905.42,Loja Leste,Débito,RJ,Rio de Janeiro,35148.78
Monitor,Periféricos,8,1904.92,Loja Centro,Crédito,RS,São Paulo,15239.36
Mouse,Informática,8,3834.95,Loja Norte,Débito,RS,Rio de Janeiro,30679.6
Smartwatch,Eletrônicos,3,82.26,Loja Leste,Crédito,MG,São Paulo,246.78000000000003
Impressora,Eletrônicos,4,2411.4,Loja Norte,Boleto,RS,Salvador,9645.6
Webcam,Periféricos,2,3979.83,Loja Centro,Débito,MG,Belo Horizonte,7959.66
Impressora,Acessórios,2,3168.72,Loja Oeste,Boleto,MG,Rio de Janeiro,6337.44
Laptop,Acessórios,4,2396.61,Loja Leste,Débito,SP,São Paulo,9586.44
Laptop,Acessórios,6,3240.98,Loja Sul,Boleto,BA,Salvador,19445.88
Webcam,Informática,5,4539.38,Loja Sul,Débito,RS,Rio de Janeiro,22696.9
Webcam,Informática,1,2853.59,Loja Norte,Boleto,MG,Belo Horizonte,2853.59
Mouse,Periféricos,1,4008.94,Loja Oeste,Débito,RS,Salvador,4008.94
Webcam,Eletrônicos,6,4904.68,Loja Sul,Crédito,SP,Porto Alegre,29428.08
Headset,Acessórios,3,3542.56,Loja Sul,Boleto,SP,Belo Horizonte,10627.68
Impressora,Eletrônicos,3,2887.96,Loja Leste,Boleto,MG,Porto Alegre,8663.880000000001
Monitor,Informática,7,235.56,Loja Sul,Crédito,RS,Salvador,1648.92
Tablet,Informática,1,1903.67,Loja Centro,Crédito,RS,Salvador,1903.67
Webcam,Informática,1,2848.94,Loja Norte,Crédito,RS,Porto Alegre,2848.94
Teclado,Eletrônicos,3,3996.17,Loja Sul,Débito,SP,São Paulo,11988.51
Laptop,Periféricos,8,2218.62,Loja Leste,Crédito,RJ,Salvador,17748.96
Headset,Periféricos,1,4802.29,Loja Centro,Débito,RJ,Rio de Janeiro,4802.29
Smartwatch,Informática,4,1395.38,Loja Sul,Débito,RS,Rio de Janeiro,5581.52
Tablet,Acessórios,9,3735.61,Loja Norte,Crédito,RS,Salvador,33620.49
Monitor,Eletrônicos,4,2124.21,Loja Norte,Crédito,BA,Porto Alegre,8496.84
Tablet,Informática,8,2455.64,Loja Norte,Débito,MG,Porto Alegre,19645.12
Webcam,Eletrônicos,7,4022.39,Loja Sul,Boleto,SP,Belo Horizonte,28156.73
Mouse,Eletrônicos,3,1516.27,Loja Centro,Boleto,BA,Porto Alegre,4548.8099999999995
Laptop,Periféricos,7,529.22,Loja Oeste,Crédito,RS,São Paulo,3704.54
Laptop,Informática,7,2625.27,Loja Norte,Boleto,RJ,São Paulo,18376.89
Smartwatch,Periféricos,3,2667.53,Loja Centro,Débito,RJ,Rio de Janeiro,8002.59
Mouse,Informática,2,3995.98,Loja Leste,Boleto,BA,Salvador,7991.96
Impressora,Eletrônicos,9,4843.18,Loja Leste,Débito,RJ,Rio de Janeiro,43588.62
Smartphone,Periféricos,1,323.74,Loja Centro,Crédito,RJ,Salvador,323.74
Headset,Eletrônicos,7,2978.86,Loja Leste,Crédito,MG,Rio de Janeiro,20852.02
Laptop,Informática,4,3422.33,Loja Leste,Boleto,RS,Salvador,13689.32
Teclado,Acessórios,2,4929.72,Loja Norte,Crédito,BA,Salvador,9859.44
Laptop,Periféricos,2,4715.82,Loja Sul,Crédito,SP,Rio de Janeiro,9431.64
Tablet,Periféricos,8,3576.63,Loja Sul,Débito,SP,Belo Horizonte,28613.04
Laptop,Eletrônicos,7,2632.86,Loja Sul,Débito,RS,São Paulo,18430.02
Laptop,Eletrônicos,7,849.54,Loja Sul,Débito,SP,Porto Alegre,5946.78
Smartphone,Acessórios,5,1951.67,Loja Centro,Débito,RJ,São Paulo,9758.35
Smartphone,Periféricos,8,2946.36,Loja Norte,Crédito,MG,Porto Alegre,23570.88
Monitor,Informática,2,3639.74,Loja Centro,Débito,BA,Salvador,7279.48
Impressora,Informática,2,3195.23,Loja Leste,Débito,BA,Rio de Janeiro,6390.46
Teclado,Periféricos,5,3584.91,Loja Norte,Débito,RJ,Rio de Janeiro,17924.55
Laptop,Periféricos,1,2174.3,Loja Oeste,Boleto,RS,Porto Alegre,2174.3
Laptop,Periféricos,6,3651.76,Loja Sul,Débito,MG,Rio de Janeiro,21910.56
Headset,Acessórios,4,761.52,Loja Leste,Crédito,SP,Rio de Janeiro,3046.08
Smartphone,Informática,6,854.8,Loja Sul,Crédito,BA,Rio de Janeiro,5128.799999999999
Teclado,Informática,7,856.02,Loja Sul,Débito,BA,São Paulo,5992.139999999999
Smartwatch,Eletrônicos,3,4459.78,Loja Sul,Boleto,RS,Rio de Janeiro,13379.34
Monitor,Eletrônicos,8,426.37,Loja Oeste,Boleto,MG,Belo Horizonte,3410.96
Impressora,Periféricos,7,4017.47,Loja Leste,Boleto,SP,Porto Alegre,28122.289999999997
Mouse,Eletrônicos,1,1206.18,Loja Sul,Boleto,BA,São Paulo,1206.18
Impressora,Acessórios,6,2368.73,Loja Sul,Débito,BA,São Paulo,14212.380000000001
Tablet,Informática,7,4583.99,Loja Norte,Débito,SP,Salvador,32087.93
Laptop,Informática,4,2950.39,Loja Sul,Crédito,MG,Salvador,11801.56
Monitor,Eletrônicos,2,1090.08,Loja Norte,Crédito,MG,Rio de Janeiro,2180.16
Tablet,Periféricos,9,1456.25,Loja Leste,Boleto,MG,São Paulo,13106.25
Teclado,Eletrônicos,7,4606.21,Loja Leste,Boleto,BA,São Paulo,32243.47
Mouse,Periféricos,1,2164.36,Loja Leste,Crédito,RJ,Rio de Janeiro,2164.36
Smartphone,Acessórios,8,2955.58,Loja Norte,Crédito,BA,Porto Alegre,23644.64
Monitor,Informática,3,2326.66,Loja Oeste,Boleto,RS,São Paulo,6979.98
Monitor,Acessórios,4,1923.27,Loja Oeste,Crédito,RS,Salvador,7693.08
Laptop,Informática,5,1155.23,Loja Sul,Boleto,BA,Rio de Janeiro,5776.15
Webcam,Acessórios,1,3446.65,Loja Leste,Débito,BA,São Paulo,3446.65
Monitor,Eletrônicos,6,3605.3,Loja Centro,Boleto,SP,Salvador,21631.800000000003
Headset,Acessórios,6,1410.68,Loja Sul,Débito,MG,Belo Horizonte,8464.08
Mouse,Acessórios,2,3955.6,Loja Oeste,Débito,SP,São Paulo,7911.2
Mouse,Eletrônicos,6,4279.95,Loja Oeste,Débito,RS,Rio de Janeiro,25679.699999999997
Headset,Informática,8,4607.34,Loja Leste,Crédito,RS,Salvador,36858.72
Smartwatch,Informática,6,848.0,Loja Norte,Crédito,RJ,São Paulo,5088.0
Headset,Eletrônicos,4,1554.42,Loja Sul,Boleto,MG,Salvador,6217.68
Headset,Acessórios,4,4308.75,Loja Norte,Débito,MG,Rio de Janeiro,17235.0
Mouse,Acessórios,9,1032.77,Loja Oeste,Boleto,RS,São Paulo,9294.93
Impressora,Acessórios,6,67.17,Loja Leste,Débito,SP,Rio de Janeiro,403.02
Mouse,Periféricos,8,4360.6,Loja Oeste,Débito,BA,Porto Alegre,34884.8
Webcam,Informática,8,1665.92,Loja Leste,Boleto,MG,São Paulo,13327.36
Laptop,Acessórios,7,2101.76,Loja Centro,Boleto,BA,São Paulo,14712.320000000002
Tablet,Informática,3,2259.35,Loja Norte,Boleto,RS,Salvador,6778.049999999999
Impressora,Acessórios,1,4248.96,Loja Sul,Boleto,RJ,São Paulo,4248.96
Smartphone,Eletrônicos,5,1722.57,Loja Leste,Crédito,RS,Porto Alegre,8612.85
Tablet,Eletrônicos,2,4466.79,Loja Centro,Débito,BA,Salvador,8933.58
Laptop,Informática,2,3103.85,Loja Centro,Débito,RS,Salvador,6207.7
Webcam,Informática,7,2660.07,Loja Norte,Crédito,MG,Belo Horizonte,18620.49
Webcam,Eletrônicos,3,1661.79,Loja Leste,Débito,BA,São Paulo,4985.37
Smartphone,Periféricos,8,1256.37,Loja Sul,Crédito,BA,Belo Horizonte,10050.96
Impressora,Eletrônicos,9,3139.09,Loja Sul,Débito,RJ,Porto Alegre,28251.81
Smartwatch,Acessórios,8,2262.13,Loja Sul,Crédito,MG,São Paulo,18097.04
Headset,Periféricos,6,4557.05,Loja Oeste,Crédito,SP,Belo Horizonte,27342.300000000003
Impressora,Eletrônicos,5,2483.61,Loja Oeste,Débito,RJ,Belo Horizonte,12418.050000000001
Smartwatch,Periféricos,3,2583.38,Loja Leste,Débito,MG,Salvador,7750.14
Webcam,Periféricos,3,2112.78,Loja Sul,Débito,SP,Belo Horizonte,6338.34
Mouse,Periféricos,7,3956.85,Loja Centro,Boleto,BA,Belo Horizonte,27697.95
Laptop,Informática,5,2152.95,Loja Sul,Débito,RJ,São Paulo,10764.75
Smartphone,Eletrônicos,6,1383.24,Loja Leste,Débito,BA,São Paulo,8299.44
Laptop,Informática,6,4317.05,Loja Sul,Débito,BA,Salvador,25902.300000000003
Teclado,Informática,9,3004.3,Loja Norte,Boleto,BA,São Paulo,27038.7
Teclado,Acessórios,1,2977.98,Loja Sul,Débito,MG,Porto Alegre,2977.98
Impressora,Acessórios,8,3073.57,Loja Centro,Crédito,SP,Salvador,24588.56
Webcam,Periféricos,5,3608.26,Loja Leste,Crédito,MG,Porto Alegre,18041.300000000003
Webcam,Periféricos,6,1599.69,Loja Leste,Boleto,BA,São Paulo,9598.14
Headset,Acessórios,6,217.53,Loja Centro,Boleto,RJ,São Paulo,1305.18
Headset,Acessórios,1,4062.44,Loja Leste,Boleto,BA,Salvador,4062.44
Headset,Eletrônicos,3,688.08,Loja Sul,Boleto,SP,Belo Horizonte,2064.2400000000002
Mouse,Periféricos,6,3623.01,Loja Leste,Boleto,MG,Rio de Janeiro,21738.06
Tablet,Periféricos,9,457.46,Loja Sul,Débito,SP,Rio de Janeiro,4117.139999999999
Monitor,Acessórios,6,1907.77,Loja Leste,Crédito,MG,São Paulo,11446.619999999999
Tablet,Eletrônicos,6,361.98,Loja Sul,Crédito,SP,Porto Alegre,2171.88
Laptop,Acessórios,1,2634.96,Loja Sul,Débito,SP,Salvador,2634.96
Tablet,Acessórios,9,3283.02,Loja Centro,Boleto,MG,Belo Horizonte,29547.18
Mouse,Informática,4,898.59,Loja Centro,Débito,MG,São Paulo,3594.36
Laptop,Periféricos,2,1889.56,Loja Oeste,Boleto,MG,Porto Alegre,3779.12
Tablet,Eletrônicos,1,4654.69,Loja Centro,Crédito,RS,São Paulo,4654.69
Mouse,Informática,3,2239.83,Loja Sul,Crédito,SP,Rio de Janeiro,6719.49
Monitor,Periféricos,3,4022.59,Loja Sul,Boleto,RS,São Paulo,12067.77
Tablet,Acessórios,5,4639.56,Loja Leste,Débito,RS,Porto Alegre,23197.800000000003
Mouse,Eletrônicos,1,4873.01,Loja Leste,Boleto,BA,Rio de Janeiro,4873.01
Headset,Periféricos,7,4496.69,Loja Oeste,Boleto,RS,São Paulo,31476.829999999998
Webcam,Acessórios,1,1621.16,Loja Sul,Crédito,RS,Rio de Janeiro,1621.16
Headset,Informática,4,4814.74,Loja Oeste,Boleto,MG,Salvador,19258.96
Webcam,Eletrônicos,6,4071.36,Loja Sul,Débito,MG,Porto Alegre,24428.16
Smartphone,Periféricos,1,4194.02,Loja Centro,Boleto,RJ,Porto Alegre,4194.02
Smartphone,Informática,7,125.11,Loja Leste,Crédito,SP,Salvador,875.77
Smartphone,Acessórios,7,4773.48,Loja Oeste,Débito,RS,Porto Alegre,33414.36
Monitor,Acessórios,3,3901.55,Loja Norte,Débito,RS,Porto Alegre,11704.650000000001
Headset,Periféricos,4,3851.44,Loja Sul,Crédito,SP,São Paulo,15405.76
Webcam,Acessórios,6,453.55,Loja Centro,Crédito,MG,Belo Horizonte,2721.3
Mouse,Eletrônicos,7,1201.21,Loja Norte,Boleto,MG,São Paulo,8408.470000000001
Laptop,Periféricos,4,4813.2,Loja Centro,Crédito,SP,Salvador,19252.8
Mouse,Informática,9,2528.35,Loja Centro,Crédito,SP,Salvador,22755.149999999998
Laptop,Periféricos,9,2019.4,Loja Sul,Crédito,MG,Belo Horizonte,18174.600000000002
Teclado,Periféricos,9,4207.71,Loja Centro,Crédito,SP,São Paulo,37869.39
Mouse,Informática,6,482.34,Loja Oeste,Débito,MG,São Paulo,2894.04
Tablet,Acessórios,2,2113.86,Loja Norte,Débito,SP,São Paulo,4227.72
Tablet,Informática,2,1909.72,Loja Centro,Débito,MG,Rio de Janeiro,3819.44
Impressora,Eletrônicos,4,1781.76,Loja Centro,Crédito,RJ,Rio de Janeiro,7127.04
Headset,Acessórios,9,1573.08,Loja Leste,Boleto,MG,São Paulo,14157.72
Laptop,Periféricos,3,1089.87,Loja Leste,Boleto,MG,Rio de Janeiro,3269.6099999999997
Laptop,Acessórios,6,905.91,Loja Oeste,Boleto,RS,São Paulo,5435.46
Headset,Acessórios,2,3220.01,Loja Leste,Boleto,MG,Salvador,6440.02
Monitor,Eletrônicos,1,4601.0,Loja Centro,Débito,SP,São Paulo,4601.0
Impressora,Acessórios,5,2568.82,Loja Centro,Boleto,BA,Rio de Janeiro,12844.1
Monitor,Acessórios,8,1524.97,Loja Norte,Débito,SP,Belo Horizonte,12199.76
Monitor,Acessórios,2,837.84,Loja Leste,Boleto,RS,Salvador,1675.68
Monitor,Periféricos,9,4159.21,Loja Sul,Boleto,SP,Porto Alegre,37432.89
Headset,Acessórios,8,4858.89,Loja Leste,Débito,RJ,Belo Horizonte,38871.12
Monitor,Informática,3,1778.32,Loja Centro,Débito,BA,Belo Horizonte,5334.96
Tablet,Acessórios,1,1490.2,Loja Norte,Boleto,BA,Porto Alegre,1490.2
Smartphone,Eletrônicos,4,3027.39,Loja Leste,Crédito,RS,Salvador,12109.56
Teclado,Acessórios,8,3887.88,Loja Norte,Boleto,BA,Porto Alegre,31103.04
Laptop,Acessórios,3,2304.24,Loja Leste,Boleto,MG,Salvador,6912.719999999999
Laptop,Periféricos,2,3168.86,Loja Oeste,Boleto,RS,Salvador,6337.72
Teclado,Informática,7,3596.92,Loja Centro,Débito,RJ,Salvador,25178.440000000002
Headset,Acessórios,4,4804.93,Loja Centro,Boleto,BA,Belo Horizonte,19219.72
Mouse,Informática,6,866.93,Loja Sul,Crédito,BA,Salvador,5201.58
Headset,Eletrônicos,5,4987.04,Loja Centro,Boleto,RS,Porto Alegre,24935.2
Laptop,Periféricos,2,1991.18,Loja Sul,Crédito,BA,Belo Horizonte,3982.36
Laptop,Informática,2,3629.84,Loja Centro,Crédito,BA,Salvador,7259.68
Teclado,Periféricos,9,2883.45,Loja Leste,Crédito,RJ,Rio de Janeiro,25951.05
Monitor,Acessórios,2,2459.01,Loja Leste,Boleto,RJ,Rio de Janeiro,4918.02
Headset,Eletrônicos,8,3505.47,Loja Oeste,Débito,RS,Salvador,28043.76
Webcam,Periféricos,8,2008.98,Loja Leste,Débito,BA,Rio de Janeiro,16071.84
Teclado,Acessórios,1,674.24,Loja Norte,Boleto,SP,São Paulo,674.24
Tablet,Informática,1,2470.02,Loja Leste,Boleto,RS,Belo Horizonte,2470.02
